fatal: bad revision 'HEAD'
开始获取 BTC/USDT 数据，从 2023-01-01 到 2024-11-08
已获取 93000 条数据... 当前时间: 2023-03-06 13:59:00.001000
已获取 94000 条数据... 当前时间: 2023-03-07 06:39:00.001000
已获取 95000 条数据... 当前时间: 2023-03-07 23:19:00.001000
已获取 96000 条数据... 当前时间: 2023-03-08 15:59:00.001000
已获取 97000 条数据... 当前时间: 2023-03-09 08:39:00.001000
已获取 98000 条数据... 当前时间: 2023-03-10 01:19:00.001000
已获取 99000 条数据... 当前时间: 2023-03-10 17:59:00.001000
已获取 100000 条数据... 当前时间: 2023-03-11 10:39:00.001000
已获取 101000 条数据... 当前时间: 2023-03-12 03:19:00.001000
已获取 102000 条数据... 当前时间: 2023-03-12 19:59:00.001000
已获取 103000 条数据... 当前时间: 2023-03-13 12:39:00.001000
已获取 104000 条数据... 当前时间: 2023-03-14 05:19:00.001000
已获取 105000 条数据... 当前时间: 2023-03-14 21:59:00.001000
已获取 106000 条数据... 当前时间: 2023-03-15 14:39:00.001000
已获取 107000 条数据... 当前时间: 2023-03-16 07:19:00.001000
已获取 108000 条数据... 当前时间: 2023-03-16 23:59:00.001000
已获取 109000 条数据... 当前时间: 2023-03-17 16:39:00.001000
已获取 110000 条数据... 当前时间: 2023-03-18 09:19:00.001000
已获取 111000 条数据... 当前时间: 2023-03-19 01:59:00.001000
已获取 112000 条数据... 当前时间: 2023-03-19 18:39:00.001000
已获取 113000 条数据... 当前时间: 2023-03-20 11:19:00.001000
已获取 114000 条数据... 当前时间: 2023-03-21 03:59:00.001000
已获取 115000 条数据... 当前时间: 2023-03-21 20:39:00.001000
已获取 116000 条数据... 当前时间: 2023-03-22 13:19:00.001000
已获取 117000 条数据... 当前时间: 2023-03-23 05:59:00.001000
已获取 118000 条数据... 当前时间: 2023-03-23 22:39:00.001000
已获取 119000 条数据... 当前时间: 2023-03-24 15:19:00.001000
已获取 120000 条数据... 当前时间: 2023-03-25 07:59:00.001000
已获取 121000 条数据... 当前时间: 2023-03-26 00:39:00.001000
已获取 122000 条数据... 当前时间: 2023-03-26 17:19:00.001000
已获取 123000 条数据... 当前时间: 2023-03-27 09:59:00.001000
已获取 124000 条数据... 当前时间: 2023-03-28 02:39:00.001000
已获取 125000 条数据... 当前时间: 2023-03-28 19:19:00.001000
已获取 126000 条数据... 当前时间: 2023-03-29 11:59:00.001000
已获取 127000 条数据... 当前时间: 2023-03-30 04:39:00.001000
已获取 128000 条数据... 当前时间: 2023-03-30 21:19:00.001000
已获取 129000 条数据... 当前时间: 2023-03-31 13:59:00.001000
已获取 130000 条数据... 当前时间: 2023-04-01 06:39:00.001000
已获取 131000 条数据... 当前时间: 2023-04-01 23:19:00.001000
已获取 132000 条数据... 当前时间: 2023-04-02 15:59:00.001000
已获取 133000 条数据... 当前时间: 2023-04-03 08:39:00.001000
已获取 134000 条数据... 当前时间: 2023-04-04 01:19:00.001000
已获取 135000 条数据... 当前时间: 2023-04-04 17:59:00.001000
已获取 136000 条数据... 当前时间: 2023-04-05 10:39:00.001000
已获取 137000 条数据... 当前时间: 2023-04-06 03:19:00.001000
已获取 138000 条数据... 当前时间: 2023-04-06 19:59:00.001000
已获取 139000 条数据... 当前时间: 2023-04-07 12:39:00.001000
已获取 140000 条数据... 当前时间: 2023-04-08 05:19:00.001000
已获取 141000 条数据... 当前时间: 2023-04-08 21:59:00.001000
已获取 142000 条数据... 当前时间: 2023-04-09 14:39:00.001000
已获取 143000 条数据... 当前时间: 2023-04-10 07:19:00.001000
已获取 144000 条数据... 当前时间: 2023-04-10 23:59:00.001000
已获取 145000 条数据... 当前时间: 2023-04-11 16:39:00.001000
已获取 146000 条数据... 当前时间: 2023-04-12 09:19:00.001000
已获取 147000 条数据... 当前时间: 2023-04-13 01:59:00.001000
已获取 148000 条数据... 当前时间: 2023-04-13 18:39:00.001000
已获取 149000 条数据... 当前时间: 2023-04-14 11:19:00.001000
已获取 150000 条数据... 当前时间: 2023-04-15 03:59:00.001000
已获取 151000 条数据... 当前时间: 2023-04-15 20:39:00.001000
已获取 152000 条数据... 当前时间: 2023-04-16 13:19:00.001000
已获取 153000 条数据... 当前时间: 2023-04-17 05:59:00.001000
已获取 154000 条数据... 当前时间: 2023-04-17 22:39:00.001000
已获取 155000 条数据... 当前时间: 2023-04-18 15:19:00.001000
已获取 156000 条数据... 当前时间: 2023-04-19 07:59:00.001000
已获取 157000 条数据... 当前时间: 2023-04-20 00:39:00.001000
已获取 158000 条数据... 当前时间: 2023-04-20 17:19:00.001000
已获取 159000 条数据... 当前时间: 2023-04-21 09:59:00.001000
